Hour,Total,Weekday,Weekend
0,134,42,92
1,108.8,28.8,80
2,89.7,16.2,73.5
3,42.6,9.6,33
4,16.7,7.2,9.5
5,25.5,15,10.5
6,101.1,72.6,28.5
7,291.7,243.2,48.5
8,725.6,597.6,128
9,866.5,610,256.5
10,854.5,444,410.5
11,1026.7,430.2,596.5
12,1312,492,820
13,1336.5,478,858.5
14,1365.9,440.4,925.5
15,1242.5,424,818.5
16,1222.9,474.4,748.5
17,1287.6,608.6,679
18,1145.1,548.6,596.5
19,901.7,442.2,459.5
20,599.9,303.4,296.5
21,397.8,196.8,201
22,288.8,129.8,159
23,206.4,97.4,109
