Hour,Total,Weekday,Weekend
0,120.7,40.2,80.5
1,82.7,24.2,58.5
2,72.3,16.8,55.5
3,26.8,7.8,19
4,7.9,4.4,3.5
5,35.9,26.4,9.5
6,153.5,140,13.5
7,575.2,525.2,50
8,1581.1,1465.6,115.5
9,1252.3,1057.8,194.5
10,928.6,646.6,282
11,891,534,357
12,941,549,392
13,958.5,514,444.5
14,915.6,449.6,466
15,812.9,381.4,431.5
16,804.1,425.6,378.5
17,878.6,465.6,413
18,687.5,395,292.5
19,501.7,258.2,243.5
20,357.7,184.2,173.5
21,280.3,143.8,136.5
22,208.1,105.6,102.5
23,145.8,65.8,80
